task_id nsim N n K p
1 50 10 1000 3 20
2 50 10 1000 3 30
3 50 10 1000 3 50
4 50 10 1000 3 100
5 50 10 1000 3 500
6 50 10 1000 3 1000
7 50 30 1000 3 20
8 50 30 1000 3 30
9 50 30 1000 3 50
10 50 30 1000 3 100
11 50 30 1000 3 500
12 50 30 1000 3 1000
13 50 50 1000 3 20
14 50 50 1000 3 30
15 50 50 1000 3 50
16 50 50 1000 3 100
17 50 50 1000 3 500
18 50 50 1000 3 1000
19 50 100 1000 3 20
20 50 100 1000 3 30
21 50 100 1000 3 50
22 50 100 1000 3 100
23 50 100 1000 3 500
24 50 100 1000 3 1000
25 50 200 1000 3 20
26 50 200 1000 3 30
27 50 200 1000 3 50
28 50 200 1000 3 100
29 50 200 1000 3 500
30 50 200 1000 3 1000
31 50 1000 1000 3 20
32 50 1000 1000 3 30
33 50 1000 1000 3 50
34 50 1000 1000 3 100
35 50 1000 1000 3 500
36 50 1000 1000 3 1000
37 50 30 100 3 30
38 50 30 500 3 30
39 50 30 1000 2 30
40 50 30 1000 5 30
41 50 30 1000 7 30
42 50 30 1000 10 30
43 50 30 10000 3 30
