,T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 1406)",0,0,1,0,1,0,3
"('cell', 15)",0,0,3,1,0,0,0
"('cell', 40)",0,1,0,0,0,0,0
"('cell', 10)",0,0,1,1,0,0,0
"('cell', 1101)",0,0,0,2,0,1,1
"('cell', 2470)",0,0,0,2,0,0,0
"('cell', 22)",0,1,0,0,0,0,0
"('cell', 26)",0,1,0,0,0,0,0
"('cell', 106)",0,0,1,1,0,0,0
"('cell', 168)",0,0,1,0,0,0,0
"('cell', 152)",0,0,0,1,0,0,0
"('cell', 133)",0,0,1,1,0,0,0
"('cell', 13)",0,1,0,0,0,0,0
"('cell', 38)",0,1,0,1,0,0,0
"('cell', 67)",0,0,1,0,0,0,0
"('cell', 49)",0,0,1,0,0,0,0
"('cell', 46)",0,0,1,0,0,0,0
"('cell', 104)",0,0,1,0,0,0,0
"('cell', 124)",0,0,1,1,0,0,0
"('cell', 72)",0,0,1,0,0,0,0
"('cell', 771)",0,0,1,0,4,8,0
"('cell', 1366)",0,0,1,0,0,1,2
"('cell', 1459)",0,0,3,1,1,3,2
"('cell', 1310)",0,0,2,1,1,0,1
"('cell', 1233)",0,0,3,0,1,1,0
"('cell', 1197)",0,0,1,1,1,0,1
"('cell', 1138)",0,0,0,1,0,1,1
"('cell', 1160)",0,0,1,1,0,0,1
"('cell', 744)",0,0,1,5,0,1,0
"('cell', 622)",0,0,1,0,0,0,0
"('cell', 804)",0,0,2,0,0,0,0
"('cell', 1205)",0,0,0,1,0,0,0
"('cell', 1161)",0,0,1,1,0,0,0
"('cell', 23)",0,0,0,0,0,0,1
"('cell', 131)",0,0,1,1,0,0,0
"('cell', 193)",0,0,3,0,1,0,0
"('cell', 311)",0,0,3,1,2,0,0
"('cell', 207)",0,0,0,1,0,0,0
"('cell', 184)",0,0,0,1,0,0,0
"('cell', 181)",0,0,1,1,0,0,0
"('cell', 264)",0,0,3,1,1,0,0
"('cell', 223)",0,0,2,1,0,0,0
"('cell', 255)",0,0,2,1,0,0,0
"('cell', 274)",0,0,2,1,1,0,0
"('cell', 17)",0,0,0,1,0,0,0
"('cell', 14)",0,1,0,1,0,0,0
"('cell', 31)",0,0,1,1,0,0,0
"('cell', 7)",0,0,0,1,0,0,0
"('cell', 127)",0,0,1,0,0,0,0
"('cell', 137)",0,0,1,0,0,0,0
"('cell', 108)",0,0,1,0,0,0,0
"('cell', 116)",0,0,1,0,0,0,0
"('cell', 714)",0,2,1,0,1,1,0
"('cell', 427)",0,0,1,0,1,0,0
"('cell', 392)",0,0,1,0,1,0,0
"('cell', 420)",0,0,1,0,1,0,0
"('cell', 579)",0,0,1,0,0,0,0
"('cell', 37)",0,0,2,0,2,9,0
"('cell', 1241)",0,0,0,0,1,3,1
"('cell', 1270)",0,0,0,1,0,1,0
"('cell', 1261)",0,0,0,0,1,1,1
"('cell', 2485)",0,0,0,1,0,0,0
"('cell', 1209)",0,0,1,0,0,0,0
"('cell', 1198)",0,0,1,0,0,0,0
"('cell', 1308)",0,0,0,0,0,1,2
"('cell', 1257)",0,0,2,0,0,1,0
"('cell', 1338)",0,0,0,0,0,1,2
"('cell', 1156)",0,0,3,0,1,1,0
"('cell', 1135)",0,0,2,1,0,0,0
"('cell', 1066)",0,0,0,1,0,1,1
