,CELL_ID,X,Y
1405,1406,341,775
14,15,768,14
39,40,593,39
9,10,750,10
1100,1101,205,640
2469,2470,333,1387
21,22,629,22
25,26,606,27
105,106,777,109
167,168,637,159
151,152,613,147
132,133,666,132
12,13,654,12
37,38,646,42
66,67,580,71
48,49,574,48
45,46,536,48
103,104,566,106
123,124,566,127
71,72,557,76
770,771,1824,491
1365,1366,341,750
1458,1459,230,792
1309,1310,216,727
1232,1233,333,695
1196,1197,232,678
1137,1138,224,654
1159,1160,251,663
743,744,220,475
621,622,295,424
803,804,370,506
1204,1205,737,682
1160,1161,710,664
22,23,1061,25
130,131,777,131
192,193,683,175
310,311,645,246
206,207,593,187
183,184,582,173
180,181,615,171
263,264,634,215
222,223,613,193
254,255,612,213
273,274,617,231
16,17,704,13
13,14,679,14
30,31,698,32
6,7,733,8
126,127,471,131
136,137,449,136
107,108,479,109
115,116,448,118
713,714,736,462
426,427,748,322
391,392,779,300
419,420,772,315
578,579,1066,401
36,37,1375,35
1240,1241,1902,695
1269,1270,1906,711
1260,1261,1887,705
2484,2485,1565,1395
1208,1209,368,681
1197,1198,384,678
1307,1308,358,727
1256,1257,360,703
1337,1338,347,737
1155,1156,308,662
1134,1135,269,654
1065,1066,217,623
1094,1095,243,636
693,694,259,457
680,681,242,450
668,669,274,445
628,629,249,429
1105,1106,289,643
662,663,305,441
744,745,325,477
647,648,338,435
752,753,391,481
784,785,387,501
774,775,410,494
799,800,352,506
939,940,442,568
930,931,424,563
934,935,458,566
1009,1010,436,601
958,959,408,578
1052,1053,414,613
991,992,393,590
157,158,531,152
148,149,505,145
127,128,538,129
165,166,477,157
168,169,560,161
182,183,500,173
201,202,481,184
339,340,648,265
396,397,671,303
1079,1080,698,630
1036,1037,647,610
1116,1117,726,642
1275,1276,705,710
1437,1438,690,784
1422,1423,661,779
1475,1476,664,800
2515,2516,333,1421
248,249,717,208
93,94,817,100
604,605,835,415
461,462,852,337
509,510,810,366
7,8,1077,9
1756,1757,1559,922
1762,1763,1601,926
1785,1786,1565,938
1716,1717,1564,903
1662,1663,1573,882
1725,1726,1525,910
1713,1714,1542,904
1490,1491,1317,808
1228,1229,983,691
1668,1669,1068,882
1029,1030,740,608
689,690,790,454
719,720,769,466
603,604,800,418
626,627,757,426
385,386,698,293
422,423,702,316
421,422,730,315
707,708,716,462
820,821,638,512
816,817,657,513
718,719,691,467
839,840,622,521
347,348,689,270
333,334,669,260
304,305,665,244
502,503,776,358
443,444,793,329
463,464,767,338
503,504,755,364
547,548,1102,386
592,593,1112,408
1191,1192,987,677
494,495,980,357
54,55,1229,53
55,56,1247,53
1227,1228,1875,691
1133,1134,1774,651
1121,1122,1756,642
978,979,1136,585
933,934,1100,566
853,854,1264,525
883,884,1275,542
846,847,1285,522
1939,1940,1247,1006
2250,2251,1147,1210
2257,2258,1127,1216
2262,2263,1163,1219
1349,1350,327,744
1387,1388,312,766
1207,1208,262,683
1301,1302,377,724
1233,1234,394,695
1548,1549,535,829
1540,1541,514,834
773,774,234,492
731,732,248,472
791,792,216,501
1068,1069,259,623
1022,1023,235,604
858,859,257,530
416,417,307,314
400,401,334,306
599,600,262,411
456,457,291,334
382,383,310,292
575,576,244,405
708,709,356,463
705,706,336,461
669,670,358,446
756,757,355,483
1091,1092,330,634
1092,1093,381,633
1045,1046,393,613
1057,1058,368,615
1088,1089,349,631
1122,1123,363,651
1157,1158,393,661
166,167,386,158
135,136,424,138
161,162,438,155
187,188,463,174
233,234,497,203
252,253,475,214
383,384,642,292
907,908,511,557
1481,1482,512,804
2299,2300,573,1247
860,861,543,531
989,990,565,589
942,943,561,571
1016,1017,557,603
1013,1014,592,601
1274,1275,685,709
1407,1408,703,772
1255,1256,637,702
1179,1180,647,672
1253,1254,656,699
1273,1274,667,711
1035,1036,512,610
988,989,518,585
950,951,506,574
971,972,474,585
1497,1498,635,815
1519,1520,558,820
1381,1382,720,759
1545,1546,715,831
1438,1439,715,786
1529,1530,700,823
1498,1499,683,810
1524,1525,654,822
1468,1469,269,799
2288,2289,549,1239
1945,1946,225,1012
2434,2435,311,1358
2374,2375,313,1313
2361,2362,334,1298
117,118,813,119
89,90,873,99
236,237,777,204
283,284,752,230
210,211,850,191
245,246,878,211
293,294,977,237
510,511,877,368
591,592,858,404
469,470,873,342
596,597,884,409
542,543,917,383
479,480,907,348
15,16,1102,11
19,20,1001,15
38,39,1006,38
34,35,1022,31
20,21,1039,18
1626,1627,887,866
1657,1658,819,882
1646,1647,751,875
1623,1624,1567,864
1843,1844,1547,965
1879,1880,1486,980
1816,1817,1544,950
1823,1824,1572,955
1261,1262,1213,706
1280,1281,1196,713
1561,1562,1257,837
1379,1380,1303,757
1478,1479,1293,803
1469,1470,1248,801
1184,1185,960,672
1166,1167,937,663
1055,1056,945,618
703,704,866,459
636,637,858,432
620,621,910,429
740,741,921,474
801,802,692,505
826,827,713,516
876,877,596,539
847,848,604,524
908,909,577,557
324,325,764,255
356,357,771,275
545,546,699,384
467,468,707,341
489,490,728,355
535,536,735,383
563,564,749,394
648,649,1054,434
600,601,1082,413
1141,1142,1020,655
1149,1150,995,657
1112,1113,977,644
1037,1038,1051,608
1006,1007,1065,597
1005,1006,1040,597
1041,1042,1017,611
985,986,1020,589
891,892,1084,547
929,930,1049,565
798,799,1699,502
221,222,1642,197
175,176,1626,166
1201,1202,1807,676
1298,1299,1835,716
1224,1225,1822,688
1231,1232,1855,694
1284,1285,1811,716
1324,1325,1859,729
1331,1332,1894,732
1369,1370,1859,752
1176,1177,1756,669
1165,1166,1723,653
1132,1133,1739,652
1214,1215,1790,687
1246,1247,1802,700
1978,1979,1816,1032
1294,1295,1358,720
1473,1474,1447,802
549,550,1126,387
514,515,1130,366
631,632,1123,426
690,691,1083,445
672,673,1131,446
779,780,1101,494
832,833,1102,517
833,834,1120,517
789,790,1133,501
729,730,1108,470
814,815,1080,510
1281,1282,1414,715
1267,1268,1391,708
1350,1351,1414,743
1314,1315,1388,729
253,254,1026,213
498,499,1414,358
619,620,1313,422
633,634,1363,427
579,580,1335,405
1807,1808,1599,947
2242,2243,1253,1197
2217,2218,1216,1173
2274,2275,1173,1230
2369,2370,1295,1303
2375,2376,1269,1312
2246,2247,1204,1201
2211,2212,1184,1170
1935,1936,1512,1007
1886,1887,1543,985
1928,1929,1532,1002
1880,1881,1588,979
1860,1861,1567,971
2328,2329,1692,1275
2354,2355,1684,1292
2312,2313,1695,1253
2520,2521,1549,1424
2513,2514,1573,1418
2461,2462,1449,1378
2382,2383,1298,1318
1332,1333,303,736
1285,1286,424,716
1382,1383,367,762
963,964,268,582
980,981,241,585
892,893,221,547
829,830,239,517
893,894,247,547
914,915,240,563
949,950,220,572
540,541,273,385
539,540,252,385
576,577,274,401
520,521,262,367
586,587,295,406
528,529,297,376
487,488,281,355
1028,1029,306,606
1051,1052,329,612
957,958,317,578
977,978,284,586
1044,1045,279,613
1090,1091,306,633
941,942,286,569
904,905,304,554
836,837,291,518
259,260,381,215
205,206,392,186
179,180,412,170
346,347,334,269
362,363,323,280
335,336,353,257
307,308,343,243
452,453,327,334
496,497,312,358
629,630,361,427
616,617,379,419
681,682,374,451
800,801,553,503
879,880,524,541
715,716,616,465
658,659,595,438
611,612,613,418
1471,1472,553,800
2466,2467,360,1381
2490,2491,349,1403
2444,2445,370,1361
1110,1111,599,642
1111,1112,618,642
1060,1061,616,619
1069,1070,584,623
1120,1121,582,643
1169,1170,591,666
1170,1171,622,669
1326,1327,922,733
1523,1524,600,821
1488,1489,579,814
1496,1497,620,812
1430,1431,591,782
1557,1558,617,837
2344,2345,344,1282
2345,2346,370,1286
2325,2326,296,1272
2303,2304,332,1252
2283,2284,360,1237
60,61,824,64
78,79,818,84
42,43,803,45
212,213,993,194
246,247,1005,210
190,191,1010,174
137,138,1039,135
146,147,1011,143
106,107,899,109
394,395,873,302
397,398,967,306
464,465,958,339
420,421,948,316
392,393,948,299
174,175,867,165
68,69,1121,71
