,T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 6)",0,0,3,1,2,2,0
"('cell', 908)",0,0,2,0,0,0,0
"('cell', 829)",0,2,3,0,0,0,0
"('cell', 1139)",0,0,5,0,5,4,0
"('cell', 807)",0,2,1,0,0,0,0
"('cell', 765)",0,2,4,0,0,0,0
"('cell', 1232)",0,0,3,0,2,1,0
"('cell', 1242)",0,0,4,0,0,1,0
"('cell', 1751)",0,0,4,1,0,0,0
"('cell', 874)",0,1,3,0,0,0,0
"('cell', 924)",0,0,3,0,0,0,0
"('cell', 920)",0,0,2,0,9,6,1
"('cell', 911)",0,0,6,0,6,8,0
"('cell', 723)",0,0,2,0,2,2,1
"('cell', 689)",0,1,2,0,1,1,1
"('cell', 661)",0,1,0,0,0,1,0
"('cell', 1262)",0,0,4,0,0,1,0
"('cell', 63)",0,0,4,0,4,5,0
"('cell', 3)",0,0,1,0,0,2,0
"('cell', 2)",0,0,1,0,0,2,0
"('cell', 1)",0,0,0,0,0,1,0
"('cell', 1114)",0,8,1,0,0,1,0
"('cell', 273)",0,1,2,0,0,0,0
"('cell', 103)",0,4,0,0,0,0,0
"('cell', 776)",0,3,0,0,0,0,0
"('cell', 878)",0,1,5,0,0,0,0
"('cell', 912)",0,0,5,0,0,2,0
"('cell', 941)",0,1,3,0,0,0,0
"('cell', 936)",0,1,3,0,0,0,0
"('cell', 958)",0,1,4,0,0,0,0
"('cell', 985)",0,1,4,0,0,0,0
"('cell', 932)",0,1,4,0,0,0,0
"('cell', 823)",0,2,5,0,0,0,0
"('cell', 786)",0,2,8,0,0,0,0
"('cell', 857)",0,1,6,0,0,0,0
"('cell', 831)",0,2,1,0,0,0,0
"('cell', 1879)",0,0,3,0,1,2,0
"('cell', 1884)",0,0,3,0,1,1,0
"('cell', 1887)",0,0,2,0,1,1,0
"('cell', 428)",0,1,1,2,0,0,0
"('cell', 990)",0,1,5,0,0,0,0
"('cell', 1160)",0,0,3,0,5,1,0
"('cell', 1010)",0,0,3,0,4,8,0
"('cell', 20)",0,3,1,0,2,1,0
"('cell', 31)",0,4,1,0,1,0,0
"('cell', 25)",0,4,1,0,0,0,0
"('cell', 51)",0,5,2,0,1,0,0
"('cell', 77)",0,6,0,0,0,0,0
"('cell', 629)",0,1,3,0,0,2,1
"('cell', 430)",0,1,2,0,0,1,0
"('cell', 409)",0,1,0,0,0,1,0
"('cell', 478)",0,1,1,0,1,1,0
"('cell', 369)",0,1,2,0,0,0,0
"('cell', 525)",0,1,1,0,1,5,0
"('cell', 559)",0,1,1,0,4,6,0
"('cell', 1713)",0,0,3,1,0,1,0
"('cell', 349)",0,4,3,0,0,3,0
"('cell', 402)",0,2,2,0,2,4,0
"('cell', 439)",0,2,2,0,0,6,0
"('cell', 743)",0,7,0,0,0,0,0
"('cell', 968)",0,9,0,0,0,0,0
"('cell', 1063)",0,9,0,0,0,0,0
"('cell', 355)",0,2,6,0,4,1,0
"('cell', 305)",0,1,8,0,5,1,0
"('cell', 797)",0,7,0,0,0,0,0
"('cell', 685)",0,10,0,0,0,0,0
"('cell', 822)",0,7,0,0,0,0,0
"('cell', 1152)",0,3,0,0,0,0,0
"('cell', 1165)",0,3,0,1,0,0,0
"('cell', 1208)",0,3,0,1,0,0,0
"('cell', 320)",0,4,3,0,1,2,0
"('cell', 206)",0,11,0,0,0,1,0
"('cell', 286)",0,4,2,0,2,2,0
"('cell', 291)",0,7,1,0,1,1,0
"('cell', 201)",0,8,1,0,2,0,0
"('cell', 222)",0,12,0,0,1,1,0
"('cell', 262)",0,4,1,0,2,1,0
"('cell', 125)",0,6,0,0,1,0,0
"('cell', 146)",0,6,1,0,1,0,0
"('cell', 951)",0,2,0,0,0,0,0
"('cell', 978)",0,1,0,0,0,0,0
"('cell', 820)",0,2,0,0,0,0,0
"('cell', 813)",0,1,0,0,0,0,0
"('cell', 856)",0,2,3,0,1,0,0
"('cell', 411)",0,4,3,0,2,5,0
"('cell', 407)",0,9,1,0,2,1,0
"('cell', 505)",0,8,0,0,0,2,0
"('cell', 717)",0,0,5,0,1,8,0
"('cell', 396)",0,3,0,2,0,0,0
"('cell', 433)",0,2,1,2,0,0,0
"('cell', 446)",0,2,1,2,0,2,0
"('cell', 136)",0,1,0,0,0,0,0
"('cell', 331)",0,3,0,0,0,0,0
"('cell', 109)",0,0,0,0,0,2,0
"('cell', 1017)",0,0,2,0,3,7,0
"('cell', 1146)",0,4,3,0,0,3,0
"('cell', 1502)",0,0,4,0,0,3,0
"('cell', 1223)",0,0,1,0,0,10,1
"('cell', 1029)",0,0,2,0,1,12,0
"('cell', 892)",0,0,1,0,4,6,0
"('cell', 379)",0,2,1,0,0,1,0
"('cell', 450)",0,0,1,0,1,5,0
"('cell', 432)",0,2,1,0,0,3,0
"('cell', 511)",0,2,0,2,0,0,0
"('cell', 463)",0,2,0,2,0,0,0
"('cell', 1445)",0,0,0,0,0,2,0
"('cell', 1524)",0,0,0,0,0,3,0
"('cell', 1488)",0,0,2,0,0,2,0
"('cell', 1888)",0,0,3,0,0,2,0
"('cell', 1596)",0,0,3,0,0,1,0
"('cell', 1610)",0,0,6,0,0,6,0
"('cell', 1552)",0,0,4,0,0,2,0
"('cell', 1621)",0,0,4,0,0,4,0
"('cell', 1565)",0,0,1,0,0,5,0
"('cell', 1501)",0,0,0,0,0,5,0
"('cell', 1476)",0,0,0,0,0,5,0
"('cell', 1398)",0,0,2,0,0,4,0
"('cell', 1345)",0,0,4,0,2,5,0
"('cell', 1039)",0,1,5,0,0,0,0
"('cell', 1025)",0,1,5,0,0,0,0
"('cell', 1043)",0,0,7,0,0,2,0
"('cell', 1514)",0,0,6,0,0,9,0
"('cell', 117)",0,6,0,0,0,0,0
"('cell', 606)",0,0,0,0,3,11,0
"('cell', 530)",0,1,0,0,0,0,0
"('cell', 626)",0,1,3,0,1,5,1
"('cell', 540)",0,1,1,0,1,2,0
"('cell', 477)",0,0,2,0,1,1,0
"('cell', 457)",0,1,2,0,2,1,0
"('cell', 503)",0,0,2,0,1,3,0
"('cell', 484)",0,0,3,0,1,8,0
"('cell', 326)",0,1,3,0,0,0,0
"('cell', 297)",0,1,4,0,2,1,0
"('cell', 395)",0,8,4,0,2,4,0
"('cell', 1016)",0,1,3,1,3,0,0
"('cell', 1697)",0,4,2,0,2,4,0
"('cell', 1803)",0,0,3,0,1,3,0
"('cell', 1602)",0,0,0,0,1,1,0
"('cell', 33)",0,0,3,0,2,7,0
"('cell', 198)",0,8,0,0,0,0,0
"('cell', 172)",0,10,0,0,0,0,0
"('cell', 270)",0,0,7,0,0,3,0
"('cell', 354)",0,1,5,0,4,5,0
"('cell', 34)",0,0,0,0,0,1,0
"('cell', 16)",0,0,1,0,0,1,0
"('cell', 49)",0,0,0,0,0,1,0
"('cell', 21)",0,0,0,0,0,1,0
"('cell', 655)",0,7,1,0,0,0,0
"('cell', 557)",0,5,4,0,0,2,0
"('cell', 537)",0,4,4,0,0,3,0
"('cell', 123)",0,1,0,0,0,0,0
"('cell', 127)",0,1,0,0,0,0,0
"('cell', 85)",0,1,0,0,0,0,0
"('cell', 983)",0,7,2,0,0,2,0
"('cell', 907)",0,5,0,0,0,0,0
"('cell', 918)",0,7,0,0,0,0,0
"('cell', 935)",0,9,0,0,0,0,0
"('cell', 1154)",0,5,1,0,0,0,0
"('cell', 1229)",0,8,2,0,0,0,0
"('cell', 1180)",0,4,3,0,0,2,0
"('cell', 1240)",0,8,1,0,0,0,0
"('cell', 1131)",0,4,0,0,0,0,0
"('cell', 1188)",0,4,1,0,0,0,0
"('cell', 1182)",0,6,1,0,0,0,0
"('cell', 981)",0,8,0,0,0,0,0
"('cell', 914)",0,6,0,0,0,0,0
"('cell', 1090)",0,7,0,0,0,0,0
"('cell', 1098)",0,4,0,0,0,0,0
"('cell', 1137)",0,5,1,0,0,0,0
"('cell', 1054)",0,10,0,0,0,0,0
"('cell', 812)",0,9,0,0,0,0,0
"('cell', 901)",0,8,0,0,0,1,0
"('cell', 802)",0,7,0,0,0,0,0
"('cell', 735)",0,9,0,0,0,0,0
"('cell', 697)",0,7,1,0,0,0,0
"('cell', 772)",0,7,0,0,0,0,0
"('cell', 1123)",0,2,0,1,0,0,0
"('cell', 1117)",0,3,0,1,0,0,0
"('cell', 1132)",0,3,0,1,0,0,0
"('cell', 1175)",0,1,0,1,0,0,0
"('cell', 1455)",0,2,0,0,0,0,0
"('cell', 965)",0,1,0,0,0,0,0
"('cell', 976)",0,2,0,0,0,0,0
"('cell', 940)",0,2,0,0,0,0,0
"('cell', 890)",0,2,0,0,0,0,0
"('cell', 1028)",0,3,0,0,0,0,0
"('cell', 1011)",0,3,0,0,0,0,0
"('cell', 1099)",0,3,0,0,0,0,0
"('cell', 973)",0,2,0,0,0,0,0
"('cell', 930)",0,5,0,0,0,0,0
"('cell', 887)",0,5,0,0,0,0,0
"('cell', 1158)",0,2,0,0,0,0,0
"('cell', 1197)",0,2,0,0,0,0,0
"('cell', 1147)",0,3,0,0,0,0,0
"('cell', 1195)",0,2,0,0,0,0,0
"('cell', 1103)",0,2,0,0,0,0,0
"('cell', 1183)",0,1,0,1,0,0,0
"('cell', 1174)",0,1,0,1,0,0,0
"('cell', 1151)",0,2,0,1,0,0,0
"('cell', 1122)",0,1,0,1,0,0,0
"('cell', 1077)",0,2,0,2,0,0,0
"('cell', 329)",0,7,1,0,1,1,0
"('cell', 225)",0,9,0,0,0,1,0
"('cell', 154)",0,9,0,0,0,0,0
"('cell', 1251)",0,6,0,0,1,0,0
"('cell', 1246)",0,7,0,0,0,0,0
"('cell', 1207)",0,5,0,1,0,0,0
"('cell', 952)",0,3,1,0,0,0,0
"('cell', 1056)",0,1,1,1,2,0,0
"('cell', 1014)",0,1,3,1,0,0,0
"('cell', 815)",0,5,0,0,0,0,0
"('cell', 825)",0,7,0,0,0,0,0
"('cell', 884)",0,3,0,0,0,0,0
"('cell', 875)",0,3,2,0,0,0,0
"('cell', 905)",0,3,1,0,0,0,0
"('cell', 853)",0,3,0,0,0,0,0
"('cell', 919)",0,2,0,0,0,0,0
"('cell', 872)",0,1,0,0,0,0,0
"('cell', 840)",0,2,0,0,0,0,0
"('cell', 770)",0,0,4,0,6,5,0
"('cell', 795)",0,2,4,0,6,0,0
"('cell', 803)",0,3,0,0,0,0,0
"('cell', 677)",0,6,2,0,0,0,0
"('cell', 635)",0,9,2,0,0,0,0
"('cell', 399)",0,5,0,0,0,0,0
"('cell', 378)",0,4,0,0,0,0,0
"('cell', 611)",0,4,2,0,2,2,0
"('cell', 580)",0,3,1,0,1,2,0
"('cell', 554)",0,6,0,0,1,2,0
"('cell', 26)",0,1,2,1,1,1,0
"('cell', 843)",0,1,6,0,0,0,0
"('cell', 895)",0,1,5,0,0,1,0
"('cell', 939)",0,1,5,0,0,0,0
"('cell', 922)",0,1,5,0,0,0,0
"('cell', 120)",0,1,0,1,0,0,0
"('cell', 144)",0,1,0,1,0,0,0
"('cell', 302)",0,4,0,0,0,0,0
"('cell', 223)",0,1,0,0,0,0,0
"('cell', 186)",0,1,0,0,0,0,0
"('cell', 166)",0,1,0,0,0,0,0
"('cell', 267)",0,3,0,0,0,0,0
"('cell', 212)",0,1,0,0,0,0,0
"('cell', 152)",0,0,0,0,0,2,0
"('cell', 143)",0,0,0,0,0,1,0
"('cell', 139)",0,0,0,0,1,3,0
"('cell', 170)",0,0,2,0,0,4,0
"('cell', 174)",0,0,0,0,0,3,0
"('cell', 177)",0,0,0,0,0,1,0
"('cell', 1097)",0,0,0,0,2,7,1
"('cell', 1179)",0,0,0,0,0,10,1
"('cell', 1367)",0,2,2,0,0,2,0
"('cell', 1364)",0,0,1,0,0,8,0
"('cell', 1750)",0,0,5,0,1,10,0
"('cell', 1638)",0,0,7,0,0,6,0
"('cell', 1868)",0,0,4,0,1,3,0
"('cell', 745)",0,4,1,0,0,5,0
"('cell', 676)",0,6,1,0,0,2,0
"('cell', 691)",0,6,1,0,0,2,0
"('cell', 742)",0,4,3,0,0,5,0
"('cell', 695)",0,3,2,0,0,2,0
"('cell', 900)",0,5,3,0,0,2,0
"('cell', 945)",0,7,4,0,0,3,0
"('cell', 542)",0,1,1,2,0,1,0
"('cell', 427)",0,1,1,2,0,1,0
"('cell', 392)",0,1,1,0,1,2,0
"('cell', 492)",0,0,2,0,3,6,0
"('cell', 436)",0,2,0,0,0,2,0
"('cell', 459)",0,2,1,0,0,1,0
"('cell', 352)",0,5,0,1,0,0,0
"('cell', 372)",0,2,0,2,0,0,0
"('cell', 384)",0,3,1,2,0,0,0
"('cell', 362)",0,4,0,1,0,0,0
"('cell', 383)",0,2,0,2,0,0,0
"('cell', 303)",0,3,2,0,1,0,0
"('cell', 533)",0,2,0,1,0,0,0
"('cell', 549)",0,2,0,1,0,1,0
"('cell', 556)",0,2,0,0,0,0,0
"('cell', 673)",0,5,4,0,0,1,0
"('cell', 650)",0,4,3,0,0,0,0
"('cell', 706)",0,3,3,0,0,1,0
"('cell', 587)",0,6,0,0,0,0,0
"('cell', 578)",0,5,0,0,0,0,0
"('cell', 1385)",0,0,3,0,1,4,0
"('cell', 1403)",0,0,1,0,0,3,0
"('cell', 1449)",0,0,3,0,0,3,0
"('cell', 653)",0,0,2,0,5,9,0
"('cell', 928)",0,0,4,0,0,1,0
"('cell', 1176)",0,0,8,0,0,5,0
"('cell', 1466)",0,0,1,0,2,6,0
"('cell', 1418)",0,0,2,0,1,6,0
"('cell', 1120)",0,0,1,0,5,3,0
"('cell', 1049)",0,0,2,0,11,4,0
"('cell', 135)",0,7,0,0,0,0,0
"('cell', 134)",0,7,4,0,2,0,0
"('cell', 79)",0,4,0,0,0,0,0
"('cell', 83)",0,6,0,0,0,0,0
"('cell', 100)",0,4,0,0,0,0,0
"('cell', 30)",0,5,0,0,0,0,0
"('cell', 37)",0,4,0,0,0,0,0
"('cell', 45)",0,6,0,0,0,0,0
"('cell', 65)",0,4,0,0,0,0,0
"('cell', 74)",0,6,0,0,0,0,0
"('cell', 86)",0,4,0,0,0,0,0
"('cell', 61)",0,7,0,0,0,0,0
"('cell', 70)",0,3,0,0,0,0,0
"('cell', 572)",0,1,2,0,1,2,0
"('cell', 618)",0,1,3,0,0,1,1
"('cell', 612)",0,1,0,0,0,1,0
"('cell', 548)",0,1,0,0,0,0,0
"('cell', 506)",0,1,1,0,0,0,0
"('cell', 419)",0,1,3,0,1,1,0
"('cell', 368)",0,1,5,0,1,1,0
"('cell', 595)",0,2,2,0,5,7,0
"('cell', 931)",0,3,5,0,1,0,0
"('cell', 1373)",0,0,5,0,5,4,0
"('cell', 1314)",0,3,3,0,3,0,0
"('cell', 1349)",0,2,3,0,4,1,0
"('cell', 1726)",0,2,3,0,3,7,0
"('cell', 1785)",0,2,1,0,1,2,0
"('cell', 1772)",0,1,2,1,1,0,0
"('cell', 1793)",0,1,3,0,1,2,0
"('cell', 1766)",0,0,3,1,1,0,0
"('cell', 1885)",0,0,2,0,0,3,0
"('cell', 1628)",0,1,1,0,0,1,0
"('cell', 1657)",0,1,1,0,0,1,0
"('cell', 1678)",0,0,2,1,0,1,0
"('cell', 1670)",0,0,2,1,1,2,0
"('cell', 1677)",0,0,2,0,0,1,0
"('cell', 1719)",0,0,2,1,0,1,0
"('cell', 1654)",0,1,0,0,0,1,0
"('cell', 1642)",0,1,1,0,0,1,0
"('cell', 1681)",0,0,1,0,0,1,0
"('cell', 1634)",0,1,1,0,0,1,0
"('cell', 1620)",0,1,0,0,0,1,0
"('cell', 1745)",0,6,1,0,0,0,0
"('cell', 1285)",0,5,2,0,1,0,0
"('cell', 1290)",0,3,3,0,2,0,0
"('cell', 1275)",0,4,1,0,3,0,0
"('cell', 1294)",0,6,1,0,3,0,0
"('cell', 1430)",0,7,1,0,2,0,0
"('cell', 1359)",0,7,2,0,1,0,0
"('cell', 1368)",0,4,2,0,2,0,0
"('cell', 7)",0,0,1,0,0,3,0
"('cell', 18)",0,0,3,0,2,6,0
"('cell', 81)",0,0,0,1,0,1,0
"('cell', 114)",0,1,0,1,0,0,0
"('cell', 89)",0,1,0,0,0,1,0
"('cell', 67)",0,0,0,1,0,1,0
"('cell', 94)",0,0,0,1,0,2,0
"('cell', 128)",0,1,1,1,1,1,0
"('cell', 620)",0,4,1,0,0,0,0
"('cell', 602)",0,4,0,0,0,2,0
"('cell', 582)",0,5,1,0,0,2,0
"('cell', 658)",0,3,1,0,0,1,0
"('cell', 633)",0,8,0,0,0,0,0
"('cell', 562)",0,10,2,0,0,0,0
"('cell', 893)",0,5,0,0,0,0,0
"('cell', 898)",0,6,0,0,0,0,0
"('cell', 1270)",0,7,1,0,0,0,0
"('cell', 1287)",0,5,0,0,0,0,0
"('cell', 680)",0,8,1,0,0,0,0
"('cell', 690)",0,8,2,0,0,0,0
"('cell', 643)",0,8,0,0,0,0,0
"('cell', 627)",0,6,0,0,0,1,0
"('cell', 600)",0,7,0,0,0,0,0
"('cell', 773)",0,6,0,0,0,0,0
"('cell', 779)",0,7,0,0,0,0,0
"('cell', 790)",0,8,0,0,0,0,0
"('cell', 696)",0,10,0,0,0,0,0
"('cell', 1486)",0,4,0,0,0,0,0
"('cell', 1413)",0,6,0,0,0,0,0
"('cell', 1423)",0,4,0,0,0,0,0
"('cell', 1459)",0,5,0,0,0,0,0
"('cell', 1424)",0,4,0,0,0,0,0
"('cell', 1468)",0,3,0,0,0,0,0
"('cell', 1651)",0,0,3,1,2,4,0
"('cell', 1669)",0,1,1,1,2,4,0
"('cell', 1429)",0,4,0,0,0,0,0
