,CELL_ID,CELL_TYPE,CELL_CLASS
523,524,Tumor 1,Tumor
1503,1504,Tumor 7,Tumor
1466,1467,Tumor 7,Tumor
1133,1134,Tumor 1,Tumor
1031,1032,Tumor 1,Tumor
1468,1469,Tumor 7,Tumor
1005,1006,Tumor 4,Tumor
1539,1540,Tumor 1,Tumor
1516,1517,Tumor 1,Tumor
1448,1449,Tumor 1,Tumor
1557,1558,Tumor 1,Tumor
1561,1562,Tumor 1,Tumor
1236,1237,Tumor 1,Tumor
1155,1156,Tumor 1,Tumor
1958,1959,Tumor 2 (Ki67 Proliferating),Tumor
986,987,Tumor 7,Tumor
952,953,Tumor 7,Tumor
635,636,Tumor 7,Tumor
611,612,Tumor 1,Tumor
593,594,Tumor 1,Tumor
666,667,Tumor 1,Tumor
683,684,Tumor 1,Tumor
723,724,Tumor 1,Tumor
1123,1124,Tumor 2 (Ki67 Proliferating),Tumor
1013,1014,Tumor 2 (Ki67 Proliferating),Tumor
1033,1034,Tumor 2 (Ki67 Proliferating),Tumor
1002,1003,Tumor 4,Tumor
1097,1098,Tumor 4,Tumor
1093,1094,Tumor 4,Tumor
1049,1050,Tumor 2 (Ki67 Proliferating),Tumor
1077,1078,Tumor 2 (Ki67 Proliferating),Tumor
1062,1063,Tumor 2 (Ki67 Proliferating),Tumor
1090,1091,Tumor 2 (Ki67 Proliferating),Tumor
1037,1038,Tumor 2 (Ki67 Proliferating),Tumor
1096,1097,Tumor 4,Tumor
1211,1212,Tumor 2 (Ki67 Proliferating),Tumor
570,571,Tumor 4,Tumor
591,592,Tumor 4,Tumor
535,536,Tumor 7,Tumor
997,998,Tumor 4,Tumor
1576,1577,Tumor 4,Tumor
1521,1522,Tumor 4,Tumor
707,708,Tumor 3,Tumor
1373,1374,Tumor 2 (Ki67 Proliferating),Tumor
1492,1493,Tumor 1,Tumor
1434,1435,Tumor 1,Tumor
1461,1462,Tumor 1,Tumor
1150,1151,Tumor 1,Tumor
1170,1171,Tumor 3,Tumor
1256,1257,Tumor 2 (Ki67 Proliferating),Tumor
1894,1895,Tumor 1,Tumor
1883,1884,Tumor 1,Tumor
1919,1920,Tumor 4,Tumor
1874,1875,Tumor 1,Tumor
1398,1399,Tumor 2 (Ki67 Proliferating),Tumor
1351,1352,Tumor 3,Tumor
1475,1476,Tumor 4,Tumor
796,797,Tumor 7,Tumor
1044,1045,Tumor 4,Tumor
524,525,Tumor 1,Tumor
482,483,Tumor 3,Tumor
52,53,Tumor 7,Tumor
12,13,Tumor 3,Tumor
903,904,Tumor 4,Tumor
948,949,Tumor 4,Tumor
909,910,Tumor 3,Tumor
1046,1047,Tumor 2 (Ki67 Proliferating),Tumor
989,990,Tumor 4,Tumor
982,983,Tumor 7,Tumor
1042,1043,Tumor 2 (Ki67 Proliferating),Tumor
831,832,Tumor 3,Tumor
876,877,Tumor 3,Tumor
1159,1160,Tumor 4,Tumor
1114,1115,Tumor 3,Tumor
1131,1132,Tumor 4,Tumor
1146,1147,Tumor 2 (Ki67 Proliferating),Tumor
1178,1179,Tumor 4,Tumor
1702,1703,Tumor 4,Tumor
1389,1390,Tumor 2 (Ki67 Proliferating),Tumor
1337,1338,Tumor 2 (Ki67 Proliferating),Tumor
1322,1323,Tumor 4,Tumor
1350,1351,Tumor 2 (Ki67 Proliferating),Tumor
1316,1317,Tumor 3,Tumor
1413,1414,Tumor 2 (Ki67 Proliferating),Tumor
1470,1471,Tumor 2 (Ki67 Proliferating),Tumor
1505,1506,Tumor 2 (Ki67 Proliferating),Tumor
1507,1508,Tumor 3,Tumor
1477,1478,Tumor 2 (Ki67 Proliferating),Tumor
1514,1515,Tumor 3,Tumor
1374,1375,Tumor 2 (Ki67 Proliferating),Tumor
1357,1358,Tumor 4,Tumor
1193,1194,Tumor 4,Tumor
1127,1128,Tumor 3,Tumor
1136,1137,Tumor 2 (Ki67 Proliferating),Tumor
1463,1464,Tumor 2 (Ki67 Proliferating),Tumor
1382,1383,Tumor 4,Tumor
1058,1059,Tumor 5,Tumor
937,938,Tumor 4,Tumor
