,CELL_ID,X,Y
11,12,676,13
18,19,696,16
43,44,725,52
88,89,452,142
2249,2250,593,1424
1360,1361,338,885
1025,1026,1837,725
1035,1036,1813,729
788,789,371,600
13,14,1150,12
68,69,700,102
21,22,661,23
37,38,699,48
212,213,654,264
95,96,431,161
575,576,571,473
488,489,334,417
449,450,330,395
163,164,404,237
173,174,420,243
234,235,384,278
181,182,384,248
246,247,357,283
475,476,515,410
263,264,575,292
1511,1512,636,944
1731,1732,548,1064
1401,1402,328,903
1405,1406,306,905
1464,1465,288,929
1404,1405,287,904
1386,1387,274,890
1358,1359,311,883
1424,1425,397,914
2111,2112,1663,1338
289,290,1677,308
751,752,393,579
844,845,417,631
26,27,641,33
25,26,1146,34
29,30,1128,31
343,344,612,335
304,305,636,320
277,278,651,301
223,224,608,276
273,274,598,301
224,225,633,270
308,309,609,319
58,59,671,77
189,190,603,252
240,241,457,283
284,285,443,307
97,98,493,164
112,113,516,186
86,87,480,141
90,91,465,156
371,372,578,353
364,365,599,352
310,311,576,321
495,496,650,418
681,682,901,537
612,613,883,495
636,637,902,512
631,632,1015,510
595,596,1020,483
19,20,1093,18
440,441,376,392
439,440,353,391
676,677,309,535
703,704,331,553
700,701,315,550
757,758,366,583
122,123,395,203
146,147,401,223
135,136,388,215
107,108,415,176
172,173,367,241
294,295,374,310
292,293,353,310
331,332,357,331
341,342,383,336
316,317,389,321
259,260,371,290
512,513,374,432
505,506,351,427
478,479,370,412
339,340,428,332
350,351,405,341
404,405,565,375
428,429,543,388
2219,2220,607,1401
2228,2229,581,1406
2172,2173,609,1369
1595,1596,657,988
604,605,788,489
465,466,677,404
1524,1525,664,953
1558,1559,683,966
1661,1662,534,1030
1616,1617,488,997
1355,1356,449,879
1433,1434,414,916
1377,1378,553,894
1402,1403,537,904
1434,1435,553,917
1393,1394,571,897
1343,1344,559,873
1446,1447,601,922
1538,1539,616,959
1473,1474,620,931
1542,1543,551,962
1484,1485,544,936
1478,1479,571,935
1549,1550,594,963
1633,1634,541,1007
1636,1637,517,1012
1517,1518,507,950
1471,1472,531,931
1769,1770,643,1082
2054,2055,638,1301
1747,1748,615,1074
1697,1698,581,1049
1710,1711,604,1056
1678,1679,605,1040
1677,1678,557,1037
1738,1739,570,1070
1752,1753,590,1077
1827,1828,539,1116
1761,1762,532,1079
1427,1428,351,915
1462,1463,362,928
1445,1446,320,923
1468,1469,344,931
1590,1591,435,983
1373,1374,428,895
1335,1336,357,882
1361,1362,371,887
1392,1393,394,899
1357,1358,407,882
640,641,574,511
603,604,588,486
2081,2082,1665,1317
2161,2162,1631,1357
2175,2176,1638,1374
2135,2136,1658,1353
2245,2246,1242,1421
375,376,1604,355
771,772,669,589
9,10,571,13
53,54,643,69
437,438,725,391
432,433,709,387
466,467,700,405
305,306,705,319
298,299,681,314
255,256,684,287
114,115,752,189
36,37,562,42
45,46,527,58
41,42,542,51
209,210,675,263
99,100,649,163
216,217,569,267
196,197,587,254
67,68,522,96
54,55,533,72
55,56,549,72
219,220,503,271
180,181,516,246
177,178,471,244
151,152,495,226
192,193,497,253
159,160,438,234
222,223,480,273
215,216,449,269
195,196,434,257
1245,1246,1089,829
1100,1101,1062,765
1144,1145,1050,788
1194,1195,952,804
1582,1583,1804,980
537,538,984,449
525,526,876,440
573,574,857,471
413,414,741,376
455,456,742,398
705,706,892,553
755,756,860,581
740,741,885,573
584,585,918,478
605,606,904,490
540,541,910,449
565,566,885,465
637,638,1122,513
237,238,1073,278
275,276,1153,301
167,168,1046,238
254,255,1102,286
651,652,1195,519
624,625,1147,505
335,336,1306,329
534,535,1344,447
412,413,391,377
410,411,514,376
444,445,515,393
975,976,973,700
1216,1217,973,820
2234,2235,1207,1410
2235,2236,1223,1409
2260,2261,1188,1426
2258,2259,1205,1428
2265,2266,1227,1433
2263,2264,1173,1431
782,783,686,597
719,720,792,559
571,572,624,473
547,548,630,454
511,512,697,431
615,616,718,498
516,517,660,434
1447,1448,675,921
1479,1480,652,933
1548,1549,477,963
1565,1566,458,972
1440,1441,519,919
1381,1382,500,894
1348,1349,476,874
1474,1475,443,932
1503,1504,469,945
2087,2088,629,1322
2046,2047,657,1294
1762,1763,506,1080
1812,1813,504,1106
1778,1779,474,1086
1749,1750,487,1074
1707,1708,486,1055
1643,1644,493,1018
1617,1618,443,1002
1666,1667,422,1030
1498,1499,297,944
1502,1503,321,945
1523,1524,338,952
1537,1538,308,961
1469,1470,377,931
1547,1548,355,964
1589,1590,412,983
1557,1558,374,964
1578,1579,375,978
1602,1603,388,991
1623,1624,403,1004
1630,1631,376,1008
1686,1687,405,1045
1576,1577,297,976
1516,1517,280,950
634,635,595,511
734,735,690,568
721,722,667,562
747,748,678,577
758,759,698,581
1252,1253,770,830
1237,1238,793,827
2092,2093,1639,1325
2071,2072,1650,1308
2213,2214,1598,1395
1767,1768,1208,1083
2225,2226,1566,1403
2238,2239,1591,1414
2207,2208,1243,1392
582,583,1416,478
566,567,1338,467
380,381,1338,356
336,337,1336,331
374,375,1354,353
403,404,1554,374
381,382,1574,359
347,348,1522,338
330,331,1497,326
303,304,1535,316
111,112,1544,184
109,110,1561,175
94,95,1543,157
103,104,1490,174
89,90,1483,150
106,107,1521,172
300,301,1368,315
861,862,1617,637
996,997,1804,711
999,1000,1779,715
1067,1068,1790,750
809,810,454,609
801,802,432,602
704,705,427,552
775,776,416,592
1307,1308,390,858
27,28,603,36
50,51,592,63
40,41,580,50
23,24,583,25
51,52,613,64
35,36,627,42
17,18,614,16
66,67,1365,94
149,150,762,226
225,226,698,271
200,201,861,260
217,218,837,268
183,184,844,249
119,120,810,193
116,117,792,189
137,138,787,217
140,141,531,219
152,153,519,228
133,134,516,211
148,149,545,226
113,114,534,184
91,92,512,158
82,83,499,136
98,99,598,164
100,101,625,164
332,333,527,330
349,350,497,340
313,314,485,322
247,248,531,284
290,291,548,310
262,263,543,293
333,334,561,329
377,378,510,355
386,387,529,361
394,395,419,370
1227,1228,924,822
1197,1198,935,807
1271,1272,914,837
1149,1150,938,789
1176,1177,921,798
1082,1083,1078,755
1336,1337,1094,870
1195,1196,1033,806
1092,1093,1014,760
1114,1115,1040,769
2020,2021,1125,1268
1773,1774,1185,1085
1783,1784,1138,1091
1556,1557,1783,965
396,397,794,370
405,406,770,374
326,327,778,326
459,460,773,398
479,480,752,420
561,562,816,460
264,265,959,293
232,233,942,279
803,804,822,607
769,770,832,586
766,767,805,584
690,691,851,542
708,709,868,554
713,714,832,557
616,617,859,498
635,636,784,511
598,599,1144,484
607,608,1117,489
710,711,1070,555
671,672,1099,529
626,627,1094,506
667,668,1081,527
79,80,1456,124
243,244,1158,283
201,202,1005,259
