trial,N,n,p,K,vanilla_err,vanilla_acc,splsi_err,splsi_acc,slda_err,slda_acc,time_v,time_splsi,time_slda,spatial_lambd
0,100,1000,20,3,6.453555331680853,0.928,2.897443988959773,0.955,15.472020125066347,0.651,0.0200490951538085,39.83135914802551,85.30592346191406,0.022182364274231
1,100,1000,20,3,6.6052487004615426,0.863,3.1813752458639972,0.925,15.111578610508914,0.58,0.0199933052062988,28.55783438682556,82.1168360710144,0.0121713932917591
2,100,1000,20,3,6.133959327338287,0.892,2.6856034249111387,0.924,14.563237088380925,0.641,0.0199859142303466,31.86181044578552,83.51980328559875,0.022182364274231
3,100,1000,20,3,7.493816996855211,0.885,3.9056416651293886,0.981,14.857862672359987,0.658,0.0200800895690917,40.80863833427429,82.94256210327148,0.022182364274231
4,100,1000,20,3,7.168350969222962,0.848,3.0732693364066535,0.899,17.63784063450899,0.427,0.0199835300445556,33.19728684425354,82.69226908683777,0.0164313809438748
5,100,1000,20,3,7.505346929533047,0.872,3.7098514349958274,0.909,15.96296195447912,0.608,0.0201902389526367,42.71487903594971,82.70133256912231,0.0164313809438748
6,100,1000,20,3,5.8712801631958005,0.89,4.0445015643515365,0.897,14.6316078850203,0.623,0.0198292732238769,35.45200753211975,83.13730978965759,0.0164313809438748
7,100,1000,20,3,6.59933280701986,0.912,3.8699262607804,0.93,18.40417109656836,0.493,0.0199973583221435,46.68229603767395,83.04168367385864,0.022182364274231
8,100,1000,20,3,7.347214472346502,0.917,2.7396548979141366,0.941,17.307481654133618,0.58,0.0201086997985839,40.91419768333435,83.29179215431213,0.0164313809438748
9,100,1000,20,3,6.592026257147699,0.836,3.2956442184560193,0.88,15.57624049683809,0.626,0.0199875831604003,33.9233136177063,83.61855983734131,0.022182364274231
10,100,1000,20,3,6.434043622224165,0.848,3.860075199306572,0.926,14.446002644584889,0.615,0.0202038288116455,38.68426847457886,82.43740749359131,0.0164313809438748
11,100,1000,20,3,6.839426962534974,0.888,2.755256208562421,0.943,15.069457127306654,0.605,0.0200448036193847,42.48045897483826,82.91353607177734,0.0164313809438748
12,100,1000,20,3,6.415565627035501,0.867,3.030360083807909,0.971,14.26952311301844,0.477,0.0200698375701904,46.8403377532959,82.62281775474548,0.0164313809438748
13,100,1000,20,3,5.944443712679528,0.862,3.211280813162248,0.908,14.902914804239598,0.554,0.0199596881866455,48.24605226516723,82.69722557067871,0.022182364274231
14,100,1000,20,3,5.922820282381433,0.937,2.8204352757919593,0.937,15.885010826882857,0.645,0.0202195644378662,31.71803641319275,82.49562168121338,0.0164313809438748
15,100,1000,20,3,5.308686450515793,0.854,2.7293481885367035,0.874,14.877986414541118,0.597,0.0200288295745849,37.58847522735596,83.51765537261963,0.0164313809438748
16,100,1000,20,3,5.2434755495484,0.919,3.2852294965827777,0.958,15.3753147403012,0.554,0.0200259685516357,31.96752905845642,82.28916549682617,0.022182364274231
17,100,1000,20,3,6.5260669429826565,0.898,3.000002244116068,0.911,15.706466732037445,0.609,0.0202517509460449,34.969691038131714,82.74167823791504,0.022182364274231
18,100,1000,20,3,6.181873485468387,0.88,3.428582908519418,0.972,15.973662112532327,0.472,0.0201151371002197,44.876580238342285,82.09085965156555,0.0164313809438748
19,100,1000,20,3,6.407995766606841,0.831,3.2610146067747485,0.87,15.17105494934541,0.543,0.0199232101440429,31.315686225891113,83.04876399040222,0.022182364274231
