seed,N,n,p,K,r,m,phi,spatial_svd_time,spatial_svd_err,spatial_svd_acc,vanilla_svd_time,vanilla_svd_err,vanilla_svd_acc
78,30,1000,30,3,0.05,5,0.1,1195.8566764593124,12.889798227162936,0.965,3.533110116608441,13.682675125964249,0.631
67,10,1000,30,3,0.05,5,0.1,1435.1140664829873,10.907392388455904,0.957,3.2266984581947327,20.139348087470403,0.504
358,30,1000,50,3,0.05,5,0.1,1566.5719838365912,11.633396747373412,0.942,3.1415423676371574,11.909949901349696,0.677
52,10,1000,30,3,0.05,5,0.1,1357.815389174968,8.711560574324544,0.953,3.237941433675587,20.628953617662777,0.472
347,10,1000,50,3,0.05,5,0.1,2295.618854891509,10.790922011789789,0.93,3.2579784467816353,19.80406661596289,0.301
356,30,1000,50,3,0.05,5,0.1,825.5915700867772,6.9772247252882655,0.959,3.3482667319476604,13.259128133747131,0.928
92,50,1000,10,3,0.05,5,0.1,869.3030545376241,16.421843817896217,0.96,3.1483659991063178,7.805700089600243,0.801
349,10,1000,50,3,0.05,5,0.1,2824.335601642728,11.363110876579542,0.831,3.2250725105404854,17.269691075781456,0.397
311,50,1000,50,3,0.05,5,0.1,978.6185319460928,14.528236053804044,0.963,3.0439644381403923,12.618210631072056,0.772
43,30,1000,30,3,0.05,5,0.1,849.8025839496404,9.010118112655489,0.946,3.441630925051868,10.748031868831315,0.89
76,30,1000,30,3,0.05,5,0.1,833.0727665289305,10.944746771555735,0.959,3.56055567227304,11.63025795618285,0.849
31,50,1000,30,3,0.05,5,0.1,905.7650372139178,9.176881552497282,0.97,3.3287896160036325,9.134617630208192,0.956
363,30,1000,50,3,0.05,5,0.1,1302.7214430868626,11.129626144705686,0.952,3.268999792635441,12.764173867957284,0.815
69,10,1000,30,3,0.05,5,0.1,1079.447063296102,7.085687341390245,0.968,3.2994976271875203,19.421767245743258,0.607
306,10,1000,50,3,0.05,5,0.1,3029.2532452866435,8.52257379582348,0.895,3.4827393516898155,16.902903373208844,0.475
85,10,1000,10,3,0.05,5,0.1,977.3877725666388,9.894369147188154,0.963,3.406115491874516,14.757786820025068,0.587
319,30,1000,50,3,0.05,5,0.1,963.2640725970268,10.417551125542047,0.971,3.184528522193432,12.89035136644662,0.669
13,10,1000,30,3,0.05,5,0.1,3903.4355208300985,10.677323533838202,0.748,3.2964498572982848,15.53516897059744,0.449
26,10,1000,30,3,0.05,5,0.1,1865.7682302012108,9.213094241976366,0.948,3.289315348956734,19.84948877733883,0.56
333,10,1000,50,3,0.05,5,0.1,3319.3786644749343,12.290834621096051,0.957,3.25975039601326,15.909255867281953,0.592
39,30,1000,30,3,0.05,5,0.1,1602.2616734057665,11.828923175379249,0.951,3.608486166223883,13.005934003674936,0.498
322,30,1000,50,3,0.05,5,0.1,1411.205272845924,10.153714993863185,0.952,3.056961316615343,12.628687148542946,0.72
70,50,1000,30,3,0.05,5,0.1,768.8580746650696,9.807584530395571,0.955,3.2154499338939786,8.848802891431987,0.979
28,10,1000,30,3,0.05,5,0.1,1425.967455564998,9.75839537404282,0.943,3.5516937961801887,19.08234537830005,0.442
37,30,1000,30,3,0.05,5,0.1,1541.3976979269646,11.759454707483815,0.937,3.21718826610595,11.592355274949124,0.434
365,50,1000,50,3,0.05,5,0.1,904.1649040691556,8.96206499664802,0.963,3.2976014502346516,10.51705609291584,0.988
308,10,1000,50,3,0.05,5,0.1,2653.543292142451,10.734255626878484,0.896,3.2846867702901363,18.803636368107263,0.446
5,10,1000,30,3,0.05,5,0.1,1167.3500602957793,9.939427791171331,0.936,3.3298190510831773,16.98369768966109,0.615
350,50,1000,50,3,0.05,5,0.1,1013.3225961476564,13.387093237060514,0.965,3.2379545979201794,10.420546526146564,0.741
317,30,1000,50,3,0.05,5,0.1,1455.0921251662076,10.133265384455118,0.958,3.119254559278488,14.132436584389684,0.654
45,50,1000,30,3,0.05,5,0.1,1927.3964529572984,11.259219798802503,0.926,3.289890843909234,10.050115846509575,0.646
94,30,1000,10,3,0.05,5,0.1,634.2649323767982,10.100768956481568,0.964,3.1424580020830035,8.014554105332056,0.91
25,50,1000,10,3,0.05,5,0.1,466.2526163603179,7.40648204807648,0.964,3.5026703900657594,7.134545834156298,0.996
89,200,1000,50,3,0.05,5,0.1,689.3224437083118,9.722202685940422,0.972,3.523299251217395,5.012994243090542,0.995
59,100,1000,50,3,0.05,5,0.1,865.7391534526832,10.76784322682966,0.959,3.497477979864925,10.286152559648748,0.981
62,30,1000,10,3,0.05,5,0.1,594.7933375812136,11.88941196865276,0.972,3.24612938798964,14.284702639048303,0.859
86,50,1000,30,3,0.05,5,0.1,989.9972024750896,10.557671275158963,0.974,3.622260152362287,10.987055080923394,0.941
29,100,1000,10,3,0.05,5,0.1,566.1398498653434,9.45752147014244,0.951,3.340231895912438,5.2226064751742145,0.998
8,50,1000,10,3,0.05,5,0.1,488.4846062501893,9.037334185743983,0.98,3.376490557100624,5.7188349899443,0.996
57,30,1000,10,3,0.05,5,0.1,815.0184295186773,11.594623469288551,0.967,3.358158430084586,11.806785090983084,0.878
10,50,1000,10,3,0.05,5,0.1,456.9013379877433,7.590515475170668,0.982,3.068933729082346,8.219601839172135,0.995
48,10,1000,10,3,0.05,5,0.1,576.3303279066458,9.368175461629017,0.946,3.359054419677705,13.052145085702785,0.77
6,50,1000,10,3,0.05,5,0.1,824.1625053877942,10.491872048216182,0.97,3.309659933205694,7.148222673830548,0.954
59,30,1000,10,3,0.05,5,0.1,469.42932875687256,10.81325161664031,0.948,3.530777835752815,9.50970945299626,0.985
88,50,1000,30,3,0.05,5,0.1,2278.51779593993,14.764425177134816,0.945,3.3943775109946728,13.55525132270488,0.584
18,100,1000,50,3,0.05,5,0.1,1070.641383417882,11.07013856409558,0.949,3.5516535718925297,7.354613191148672,0.883
46,10,1000,10,3,0.05,5,0.1,652.5856582229026,7.853508752718189,0.945,3.2076703179627657,12.264152535988863,0.886
73,10,1000,10,3,0.05,5,0.1,693.7234537880868,6.983928982451179,0.972,3.2534239469096065,14.550543741505852,0.786
68,100,1000,10,3,0.05,5,0.1,583.1808162801899,13.266172101821354,0.971,3.566191657911986,5.836765451377513,0.829
