trial,N,n,p,K,plsi_err,plsi_acc,splsi_err,splsi_acc,slda_err,slda_acc,plsi_time,splsi_time,slda_time,spatial_lambd,seed,regens,splsi_iters
0,30,1000,50,3,11.843273907593929,0.777,5.974689404944738,0.873,17.326353623112187,0.523,0.0229382514953613,82.12094688415527,87.97193932533264,0.022182364274231,,,
1,30,1000,50,3,12.3835446229001,0.7,5.792504983001472,0.917,16.447953124958328,0.367,0.0227065086364746,76.58150577545166,86.66995930671692,0.0164313809438748,,,
2,30,1000,50,3,11.56915185495236,0.826,5.425928501682688,0.954,16.14205493724727,0.661,0.022801399230957,53.13907527923584,87.80261754989624,0.022182364274231,,,
3,30,1000,50,3,12.22161229656516,0.714,6.034411491472702,0.815,17.145811713288627,0.505,0.0228252410888671,45.74657917022705,86.83769798278809,0.0164313809438748,,,
4,30,1000,50,3,12.85755900560791,0.654,6.735229827253258,0.833,17.72435316616329,0.446,0.0225715637207031,86.66647815704346,86.65991401672363,0.022182364274231,,,
5,30,1000,50,3,11.225228729596571,0.71,5.25299837831164,0.837,15.937945157863648,0.565,0.0227999687194824,45.217623472213745,87.29639768600464,0.022182364274231,,,
6,30,1000,50,3,11.626311511700964,0.83,4.783523941263197,0.924,16.35350907312402,0.631,0.0226137638092041,66.94798755645752,86.80003690719604,0.022182364274231,,,
7,30,1000,50,3,11.458329149242235,0.79,6.5714597065977385,0.913,16.324312348164398,0.576,0.022721529006958,56.96810507774353,86.81453371047974,0.0164313809438748,,,
8,30,1000,50,3,11.288971745230134,0.811,5.198161743209484,0.923,18.57336618167372,0.388,0.0227417945861816,58.859193563461304,87.26322984695435,0.022182364274231,,,
9,30,1000,50,3,15.1881850118222,0.645,5.624742099670934,0.883,17.124168042162722,0.34,0.022731065750122,100.7126739025116,87.0356330871582,0.0164313809438748,,,
10,30,1000,50,3,11.867460693559996,0.731,5.107992371652936,0.833,16.664571007424335,0.546,0.0225725173950195,47.14650869369507,86.90035820007324,0.022182364274231,,,
11,30,1000,50,3,12.087913610191803,0.822,6.155259988319309,0.954,19.042736392116904,0.448,0.0225894451141357,58.2928352355957,87.92862796783447,0.022182364274231,,,
12,30,1000,50,3,11.853391901531031,0.781,5.675823706396518,0.901,16.811060336139384,0.629,0.0227420330047607,59.462679862976074,87.33947277069092,0.0164313809438748,,,
13,30,1000,50,3,11.479586672473305,0.791,4.980711894520337,0.914,17.795402345851063,0.508,0.0223665237426757,38.81431984901428,87.78151273727417,0.022182364274231,,,
14,30,1000,50,3,11.501221081576954,0.76,5.444802195014844,0.826,16.982879204957023,0.445,0.0227077007293701,89.89498972892761,86.6575562953949,0.0299461917702118,,,
15,30,1000,50,3,11.971545519963463,0.791,6.045543769298173,0.917,17.562607377612263,0.529,0.0226695537567138,45.674445390701294,86.64139604568481,0.022182364274231,,,
16,30,1000,50,3,11.786711537234144,0.79,5.759556405911989,0.958,17.460322478150996,0.471,0.0227668285369873,76.01974844932556,86.38916993141174,0.0299461917702118,,,
17,30,1000,50,3,12.968025676429354,0.728,6.466749911940224,0.877,18.745086390637923,0.336,0.022590160369873,65.68487811088562,87.28582835197449,0.022182364274231,,,
